task_id,language,persona,task_diff,task,output_files,metadata_path,rubric_index,rubric_type,rubric,basis_label,basis,reason,checked_files,confidence,input_mask_excluded_files,input_mask_reason
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,0,基础评估,输出文件 project_dependencies_unique_list.md 是否创建？,有依据,metadata.json 的 task 明确要求“生成一份 project_dependencies_unique_list.md”，output_files 也列出 project_dependencies_unique_list.md。,输出文件名和创建目标由任务直接给出，不需要 rubric 才能知道。,[],1.0,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,1,结果评估,输出文件中表格是否包含正好 43 个唯一的依赖项？,有依据,从所有输入独立提取并去重可得到 43 个依赖名称：DEPENDENCIES_*.md 的 Java/Build/Container 依赖 12 个，加替代/推荐库 SLF4J、Spring Security、Spring Cloud Config 3 个；package.json 的 dependencies/devDependencies 9 个；pom.xml 的 dependencies 16 个和 build plugins 3 个。排除 backend-service 以及 Frequency、Threshold、Tool 等非依赖文本后总数为 43。,task 要求从相关文件提取主要库或框架并去重；43 是按输入文件可复算的唯一依赖数量。表格呈现形式另由 rubric 20 单独判断。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/04f836c745c4cfd0_DEPENDENCIES_12.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/0b0efb4abe48b14e_DEPENDENCIES_33.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/1244523870a37360_DEPENDENCIES_28.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/17a20d825bd73dd8_DEPENDENCIES_8.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/184243a922c2cfdf_DEPENDENCIES_22.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/1cb5fd05904f6dcd_DEPENDENCIES_31.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/276353c7c2992d73_DEPENDENCIES_4.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/29a781edc34ae272_package.json"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2a4aca3914687166_DEPENDENCIES_35.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2b75b913b582c113_DEPENDENCIES_21.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2b971617b48cc411_DEPENDENCIES_16.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2f0d7fafd0ea423f_DEPENDENCIES_30.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/304845eab6118a51_DEPENDENCIES_6.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/3eaf4faafe81b323_DEPENDENCIES_20.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/44e714c5a3fd556a_DEPENDENCIES_27.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/51466b0a76744f25_DEPENDENCIES_11.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/5fabb3ea672c7cf6_DEPENDENCIES_10.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/67540a13a690c38e_DEPENDENCIES_29.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/7752d7e8b9ef5d54_DEPENDENCIES_5.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/89e2601d64578cff_DEPENDENCIES_18.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/9164a0aa1f6f02f2_DEPENDENCIES_17.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/94377f59a90a1641_DEPENDENCIES_34.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/951ce385af20d8aa_DEPENDENCIES_13.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/9fa43e974113c5f6_DEPENDENCIES_15.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b37109944bf58751_DEPENDENCIES_32.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/c3f349db3afd6ba1_DEPENDENCIES_26.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/cc712723ab8b65be_DEPENDENCIES_24.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d35ee84de2250452_pom.xml"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d6496c728d325af8_DEPENDENCIES_23.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/e9a62c781e8c1826_DEPENDENCIES_25.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/ed8c3753908766cb_DEPENDENCIES_14.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f1ff9eb475b64bb5_DEPENDENCIES_19.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f3c784677d0e73c8_DEPENDENCIES_9.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f4ea93639821e7ad_DEPENDENCIES_2.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f56fc8229445fce5_DEPENDENCIES_3.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/fed3a2505fb1a12f_DEPENDENCIES_7.md""]",0.86,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,2,结果评估,输出文件的总结中是否写明 Total unique dependencies: **43**？,无依据,输入文件能支持唯一依赖总数为 43，但 task 只要求生成去重后的依赖列表；没有要求写“总结”，也没有要求使用英文固定文本 Total unique dependencies: **43** 或加粗格式。,该 rubric 的精确总结句式和 Markdown 加粗写法是输出措辞约束，只看 task 和输入文件无法自然推出。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/04f836c745c4cfd0_DEPENDENCIES_12.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/0b0efb4abe48b14e_DEPENDENCIES_33.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/1244523870a37360_DEPENDENCIES_28.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/17a20d825bd73dd8_DEPENDENCIES_8.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/184243a922c2cfdf_DEPENDENCIES_22.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/1cb5fd05904f6dcd_DEPENDENCIES_31.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/276353c7c2992d73_DEPENDENCIES_4.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/29a781edc34ae272_package.json"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2a4aca3914687166_DEPENDENCIES_35.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2b75b913b582c113_DEPENDENCIES_21.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2b971617b48cc411_DEPENDENCIES_16.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/2f0d7fafd0ea423f_DEPENDENCIES_30.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/304845eab6118a51_DEPENDENCIES_6.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/3eaf4faafe81b323_DEPENDENCIES_20.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/44e714c5a3fd556a_DEPENDENCIES_27.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/51466b0a76744f25_DEPENDENCIES_11.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/5fabb3ea672c7cf6_DEPENDENCIES_10.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/67540a13a690c38e_DEPENDENCIES_29.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/7752d7e8b9ef5d54_DEPENDENCIES_5.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/89e2601d64578cff_DEPENDENCIES_18.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/9164a0aa1f6f02f2_DEPENDENCIES_17.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/94377f59a90a1641_DEPENDENCIES_34.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/951ce385af20d8aa_DEPENDENCIES_13.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/9fa43e974113c5f6_DEPENDENCIES_15.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b37109944bf58751_DEPENDENCIES_32.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/c3f349db3afd6ba1_DEPENDENCIES_26.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/cc712723ab8b65be_DEPENDENCIES_24.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d35ee84de2250452_pom.xml"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d6496c728d325af8_DEPENDENCIES_23.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/e9a62c781e8c1826_DEPENDENCIES_25.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/ed8c3753908766cb_DEPENDENCIES_14.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f1ff9eb475b64bb5_DEPENDENCIES_19.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f3c784677d0e73c8_DEPENDENCIES_9.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f4ea93639821e7ad_DEPENDENCIES_2.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/f56fc8229445fce5_DEPENDENCIES_3.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/fed3a2505fb1a12f_DEPENDENCIES_7.md""]",0.95,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,3,结果评估,输出文件中是否包含 Apache Commons 依赖？,有依据,所有 DEPENDENCIES_*.md 的 “Java Dependencies” 章节均列出 “Apache Commons: 3.11”；pom.xml 也在 dependencies 中列出 org.apache.commons:commons-lang3。,Apache Commons 在输入依赖文件中明确出现，认真提取主要依赖时自然应包含。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d35ee84de2250452_pom.xml""]",1.0,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,4,结果评估,输出文件中是否包含 Spring Boot 依赖？,有依据,所有 DEPENDENCIES_*.md 的 “Java Dependencies” 章节均列出 “Spring Boot: 2.6.3”；pom.xml 的 parent 为 spring-boot-starter-parent，dependencies 中也有多个 spring-boot-starter-* artifactId。,Spring Boot 是输入文件明确给出的核心框架，有充分依据纳入输出。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d35ee84de2250452_pom.xml""]",1.0,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,5,结果评估,输出文件中是否包含 Spring Security 依赖？,有依据,DEPENDENCIES_*.md 的 Deprecated Dependencies 中写有 “Legacy security library (replaced with Spring Security)”；pom.xml 中还存在 spring-boot-starter-security 与 spring-security-test。,输入文件直接出现 Spring Security 相关依赖/框架名称，提取项目依赖概览时有依据包含它。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d35ee84de2250452_pom.xml""]",0.98,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,6,结果评估,输出文件中是否包含 Spring Cloud 依赖？,有依据,所有 DEPENDENCIES_*.md 的 “Java Dependencies” 章节均列出 “Spring Cloud: 2021.0.1”，Recommendations 中还提到 Spring Cloud Config。,Spring Cloud 在输入依赖报告中明确列为 Java dependency，自然应进入去重列表。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md""]",1.0,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,7,结果评估,输出文件中是否包含 Docker、Kubernetes、Helm 这三个容器化工具依赖？,有依据,所有 DEPENDENCIES_*.md 的 “Container Dependencies” 章节列出 Docker: 20.10.0、Kubernetes: 1.23.0、Helm: 3.7.0。,这三个名称在输入文件中被明确标为容器依赖，task 要求提取相关文件中的依赖名称。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md""]",1.0,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,8,结果评估,输出文件中是否包含 Hibernate、Jackson 这两个 ORM/JSON 处理库？,有依据,所有 DEPENDENCIES_*.md 的 “Java Dependencies” 章节列出 Hibernate: 5.4.0 和 Jackson: 2.13.0。,Hibernate 与 Jackson 均是输入中明确列出的库，包含它们不依赖隐藏 rubric。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md""]",1.0,[],
3,cn,Backend Developer,中等（步骤不超过10步且包含协同类型2）,我需要一份项目依赖关系的概览。从相关文件中提取出项目所依赖的主要库或框架的名称，然后去重，生成一份 project_dependencies_unique_list.md。,"[""project_dependencies_unique_list.md""]",packages/hf_latest/tasks/lite/cn/3/metadata_verified.json,9,结果评估,输出文件中是否包含 JUnit、Mockito 两个测试框架依赖？,有依据,所有 DEPENDENCIES_*.md 的 “Java Dependencies” 章节列出 JUnit: 5.8.0 和 Mockito: 4.0.0；pom.xml 还包含 spring-boot-starter-test 与 spring-security-test 测试依赖。,JUnit、Mockito 在输入依赖报告中明确列出，作为测试框架依赖有直接依据。,"[""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/b4dcea658411e264_DEPENDENCIES_1.md"", ""/home/yukai/project/test/OpenDataBox/Workspace-Bench/evaluation/packages/hf_latest/tasks/lite/cn/3/data/d35ee84de2250452_pom.xml""]",1.0,[],
